lag_time,autocorrelation
3.400000000000000000e+03,3.473273339882020343e-03
3.420000000000000000e+03,1.787940465676079657e-02
3.440000000000000000e+03,3.486019895480103881e-02
3.460000000000000000e+03,1.076601101386731943e-02
3.480000000000000000e+03,2.191323785968342722e-02
3.500000000000000000e+03,1.810621563455579869e-02
3.520000000000000000e+03,1.976621265823444440e-03
3.540000000000000000e+03,-1.145014932435196864e-02
3.560000000000000000e+03,-6.711228181612063567e-03
3.580000000000000000e+03,-6.890225105976676909e-03
3.600000000000000000e+03,-2.047182373746901304e-03
3.620000000000000000e+03,-3.430037202449018850e-03
3.640000000000000000e+03,-1.333981851968938336e-02
3.660000000000000000e+03,-1.621017020775906287e-02
3.680000000000000000e+03,-4.276004861274815966e-02
3.700000000000000000e+03,-2.957043829112445885e-02
3.720000000000000000e+03,-3.121841251330076047e-02
3.740000000000000000e+03,-3.401395573795343297e-02
3.760000000000000000e+03,-7.200826910158206196e-02
3.780000000000000000e+03,-7.622791174900363231e-02
3.800000000000000000e+03,-7.419558381681196080e-02
3.820000000000000000e+03,-8.301764294883591522e-02
3.840000000000000000e+03,-1.213406568335579083e-01
3.860000000000000000e+03,-1.378232316651572531e-01
3.880000000000000000e+03,-1.315019625411074644e-01
3.900000000000000000e+03,-1.588533127546819246e-01
3.920000000000000000e+03,-1.858748234431343016e-01
3.940000000000000000e+03,-1.818046902415255961e-01
3.960000000000000000e+03,-1.702273524140902605e-01
3.980000000000000000e+03,-1.750863735760846973e-01
4.000000000000000000e+03,-1.682119133235645547e-01
4.020000000000000000e+03,-1.502143145461544982e-01
4.040000000000000000e+03,-1.531611257225724276e-01
4.060000000000000000e+03,-1.580498956508986086e-01
4.080000000000000000e+03,-1.649511377843387305e-01
4.100000000000000000e+03,-1.686667200696811419e-01
4.120000000000000000e+03,-1.574544831492456776e-01
4.140000000000000000e+03,-1.494756848011893069e-01
4.160000000000000000e+03,-1.593485843548468339e-01
4.180000000000000000e+03,-1.591028752265160051e-01
4.200000000000000000e+03,-1.526892809321324096e-01
4.220000000000000000e+03,-1.607439635242297327e-01
4.240000000000000000e+03,-1.635168231572720898e-01
4.260000000000000000e+03,-1.595125034417285426e-01
4.280000000000000000e+03,-1.638736733894246844e-01
4.300000000000000000e+03,-1.663477221385584459e-01
4.320000000000000000e+03,-1.695975179025917823e-01
4.340000000000000000e+03,-1.619016402722006642e-01
4.360000000000000000e+03,-1.480995377825568005e-01
4.380000000000000000e+03,-1.437484999364647964e-01
4.400000000000000000e+03,-1.463245321661846565e-01
4.420000000000000000e+03,-1.410111196168072900e-01
4.440000000000000000e+03,-1.375872411426997122e-01
4.460000000000000000e+03,-1.220551658833455011e-01
4.480000000000000000e+03,-1.370870315660293604e-01
4.500000000000000000e+03,-1.432731490869356694e-01
4.520000000000000000e+03,-1.363714587213647467e-01
4.540000000000000000e+03,-1.364036027565417863e-01
4.560000000000000000e+03,-1.618437159387606517e-01
4.580000000000000000e+03,-1.417417499098029832e-01
4.600000000000000000e+03,-1.385466031483523486e-01
4.620000000000000000e+03,-1.428125488217249495e-01
4.640000000000000000e+03,-1.358193013186171361e-01
4.660000000000000000e+03,-1.175368285608895114e-01
4.680000000000000000e+03,-1.034381279272903048e-01
4.700000000000000000e+03,-1.003678239146274381e-01
4.720000000000000000e+03,-1.014241253238909873e-01
4.740000000000000000e+03,-8.730174898906416237e-02
4.760000000000000000e+03,-7.616059302394440067e-02
4.780000000000000000e+03,-7.121696015367452726e-02
4.800000000000000000e+03,-4.753989721690197318e-02
4.820000000000000000e+03,-1.747422182156283324e-02
4.840000000000000000e+03,1.410206356907292048e-02
4.860000000000000000e+03,4.137056326981118637e-02
4.880000000000000000e+03,6.803857760072493099e-02
4.900000000000000000e+03,8.102566584619963486e-02
4.920000000000000000e+03,8.796906820217219314e-02
4.940000000000000000e+03,6.681167340112234565e-02
4.960000000000000000e+03,6.553922668229757165e-02
4.980000000000000000e+03,5.039392276264090254e-02
5.000000000000000000e+03,2.127315680755120786e-02
