time,interaction_energy
4.300000000000000000e+03,-5.148943500000000029e+01
4.320000000000000000e+03,-3.284224100000000135e+01
4.340000000000000000e+03,-3.856808900000000051e+01
4.360000000000000000e+03,-5.594603499999999485e+01
4.380000000000000000e+03,-5.564940500000000156e+01
4.400000000000000000e+03,-5.458025800000000061e+01
4.420000000000000000e+03,-4.707058899999999824e+01
4.440000000000000000e+03,-2.918647800000000103e+01
4.460000000000000000e+03,-5.260884200000000277e+01
4.480000000000000000e+03,-5.692343100000000078e+01
4.500000000000000000e+03,-4.043843000000000387e+01
4.520000000000000000e+03,-4.758898500000000098e+01
4.540000000000000000e+03,-6.854934300000000746e+01
4.560000000000000000e+03,-3.269752300000000389e+01
4.580000000000000000e+03,-6.084901400000000393e+01
4.600000000000000000e+03,-5.049371000000000720e+01
4.620000000000000000e+03,-4.558229399999999742e+01
4.640000000000000000e+03,-2.808805600000000169e+01
4.660000000000000000e+03,-2.605548500000000089e+01
4.680000000000000000e+03,-5.046306299999999823e+01
4.700000000000000000e+03,-6.274803999999999604e+01
4.720000000000000000e+03,-5.210661699999999996e+01
4.740000000000000000e+03,-6.263064099999999712e+01
4.760000000000000000e+03,-7.444743100000000879e+01
4.780000000000000000e+03,-6.419807699999999784e+01
4.800000000000000000e+03,-6.677194400000000485e+01
4.820000000000000000e+03,-6.787663600000000486e+01
4.840000000000000000e+03,-5.371551000000000187e+01
4.860000000000000000e+03,-8.131333700000000420e+01
4.880000000000000000e+03,-9.051313799999999787e+01
4.900000000000000000e+03,-9.196502399999999966e+01
4.920000000000000000e+03,-1.370206829999999911e+02
4.940000000000000000e+03,-1.083576659999999947e+02
4.960000000000000000e+03,-1.279584580000000074e+02
4.980000000000000000e+03,-1.525540839999999889e+02
5.000000000000000000e+03,-1.341321450000000084e+02
