PC1,PC2,FreeEnergy_kJmol
-2.9554812999999998,1.5874796999999994,4.982292079936066
-2.9554812999999998,1.7380562999999993,4.9937265707784215
-2.9554812999999998,1.8886328999999993,4.9980921448327695
-2.9554812999999998,2.0392094999999992,4.999502232283467
-2.9554812999999998,2.189786099999999,4.999895079059371
-2.9554812999999998,2.340362699999999,4.999983192200865
-2.9554812999999998,2.490939299999999,4.999997422440521
-2.9554812999999998,2.641515899999999,5.0
-2.9554812999999998,2.792092499999999,5.0
-2.9554812999999998,2.942669099999999,5.0
-2.9554812999999998,3.093245699999999,5.0
-2.9554812999999998,3.243822299999999,5.0
-2.9554812999999998,3.3943988999999988,5.0
-2.9554812999999998,3.5449754999999987,5.0
-2.9554812999999998,3.6955520999999987,5.0
-2.9554812999999998,3.8461286999999986,5.0
-2.9554812999999998,3.9967052999999986,5.0
-2.9554812999999998,4.1472818999999985,5.0
-2.9554812999999998,4.2978584999999985,5.0
-2.9554812999999998,4.448435099999999,5.0
-2.9554812999999998,4.5990117,5.0
-2.8211931000000003,-2.7792417,5.0
-2.8211931000000003,-2.6286651,5.0
-2.8211931000000003,-2.4780885,5.0
-2.8211931000000003,-2.3275119,5.0
-2.8211931000000003,-2.1769353000000002,4.999983192200865
-2.8211931000000003,-2.0263587000000003,4.999878594320545
-2.8211931000000003,-1.8757821000000001,4.999349609276303
-2.8211931000000003,-1.7252055000000002,4.997288436510771
-2.8211931000000003,-1.5746289000000002,4.9910281376884456
-2.8211931000000003,-1.4240523000000003,4.976269253038605
-2.8211931000000003,-1.2734757000000003,4.949136001326753
-2.8211931000000003,-1.1228991000000001,4.909904493200482
-2.8211931000000003,-0.9723225000000002,4.863888818568289
-2.8211931000000003,-0.8217459000000003,4.815366778933326
-2.8211931000000003,-0.6711693000000003,4.758507151594642
-2.8211931000000003,-0.5205927000000004,4.675215296376939
-2.8211931000000003,-0.3700161000000004,4.547004525693208
-2.8211931000000003,-0.21943950000000045,4.3770926756990445
-2.8211931000000003,-0.0688629000000005,4.2028745334961215
-2.8211931000000003,0.08171369999999945,4.078552396728478
-2.8211931000000003,0.2322902999999994,4.039674365216957
-2.8211931000000003,0.38286689999999934,4.087421682615693
-2.8211931000000003,0.5334434999999993,4.201975171064275
-2.8211931000000003,0.6840200999999995,4.357421662857152
-2.8211931000000003,0.8345966999999996,4.525558684268945
-2.8211931000000003,0.9851732999999996,4.680102412933441
-2.8211931000000003,1.1357498999999995,4.803704953551373
-2.8211931000000003,1.2863264999999995,4.890781267708903
-2.8211931000000003,1.4369030999999994,4.9451130808093
-2.8211931000000003,1.5874796999999994,4.975253499154779
-2.8211931000000003,1.7380562999999993,4.990151353680926
-2.8211931000000003,1.8886328999999993,4.996631098417549
-2.8211931000000003,2.0392094999999992,4.999031577986027
-2.8211931000000003,2.189786099999999,4.999776540307927
-2.8211931000000003,2.340362699999999,4.999959680185908
-2.8211931000000003,2.490939299999999,4.9999938167562465
-2.8211931000000003,2.641515899999999,5.0
-2.8211931000000003,2.792092499999999,5.0
-2.8211931000000003,2.942669099999999,5.0
-2.8211931000000003,3.093245699999999,5.0
-2.8211931000000003,3.243822299999999,5.0
-2.8211931000000003,3.3943988999999988,5.0
-2.8211931000000003,3.5449754999999987,5.0
-2.8211931000000003,3.6955520999999987,5.0
-2.8211931000000003,3.8461286999999986,5.0
-2.8211931000000003,3.9967052999999986,5.0
-2.8211931000000003,4.1472818999999985,5.0
-2.8211931000000003,4.2978584999999985,5.0
-2.8211931000000003,4.448435099999999,5.0
-2.8211931000000003,4.5990117,5.0
-2.6869049,-2.7792417,5.0
-2.6869049,-2.6286651,5.0
-2.6869049,-2.4780885,4.999999993610869
